Variable,Description,Type,Value,Label,Pre-Transplant Variable vs Post-Transplant Outcome Variable,"Related to GVHD: Yes/No, Possible, Unknown","Rational for Yes, Possible, Unknown",Linked to Other Variables
tris11,Cytogenetic abnormality present before transplant:  +11,Categorical,0,No,Pre-Transplant Variable,Unknown,Unknown if disease impacts risk of gvhd,236
,,,1,Yes,,,,
,,,.A,Missing,,,,
,,,.B,Not tested,,,,
,,,.Z,"N/A, TED track <2013",,,,
tris13,Cytogenetic abnormality present before transplant: +13,Categorical,0,No,Pre-Transplant Variable,Unknown,Unknown if disease impacts risk of gvhd,236
,,,1,Yes,,,,
,,,.A,Missing,,,,
,,,.B,Not tested,,,,
,,,.Z,"N/A, TED track <2013",,,,
tris14,Cytogenetic abnormality present before transplant: +14,Categorical,0,No,Pre-Transplant Variable,Unknown,Unknown if disease impacts risk of gvhd,236
,,,1,Yes,,,,
,,,.A,Missing,,,,
,,,.B,Not tested,,,,
,,,.Z,"N/A, TED track <2013",,,,
tris21,Cytogenetic abnormality present before transplant: +21,Categorical,0,No,Pre-Transplant Variable,Unknown,Unknown if disease impacts risk of gvhd,236
,,,1,Yes,,,,
,,,.A,Missing,,,,
,,,.B,Not tested,,,,
,,,.Z,"N/A, TED track <2013",,,,
tris22,Cytogenetic abnormality present before transplant: +22,Categorical,0,No,Pre-Transplant Variable,Unknown,Unknown if disease impacts risk of gvhd,236
,,,1,Yes,,,,
,,,.A,Missing,,,,
,,,.B,Not tested,,,,
,,,.Z,"N/A, TED track <2013",,,,
t33,Cytogenetic abnormality present before transplant: T(3:3),Categorical,0,No,Pre-Transplant Variable,Unknown,Unknown if disease impacts risk of gvhd,236
,,,1,Yes,,,,
,,,.A,Missing,,,,
,,,.B,Not tested,,,,
,,,.Z,"N/A, TED track <2013",,,,
t69,Cytogenetic abnormality present before transplant: T(6:9),Categorical,0,No,Pre-Transplant Variable,Unknown,Unknown if disease impacts risk of gvhd,236
,,,1,Yes,,,,
,,,.A,Missing,,,,
,,,.B,Not tested,,,,
,,,.Z,"N/A, TED track <2013",,,,
t821,Cytogenetic abnormality present before transplant: T(8:21),Categorical,0,No,Pre-Transplant Variable,Unknown,Unknown if disease impacts risk of gvhd,236
,,,1,Yes,,,,
,,,.A,Missing,,,,
,,,.B,Not tested,,,,
,,,.Z,"N/A, TED track <2013",,,,
t822,Cytogenetic abnormality present before transplant: T(8:22),Categorical,0,No,Pre-Transplant Variable,Unknown,Unknown if disease impacts risk of gvhd,236
,,,1,Yes,,,,
,,,.A,Missing,,,,
,,,.B,Not tested,,,,
,,,.Z,"N/A, TED track <2013",,,,
t911,Cytogenetic abnormality present before transplant: T(9:11),Categorical,0,No,Pre-Transplant Variable,Unknown,Unknown if disease impacts risk of gvhd,236
,,,1,Yes,,,,
,,,.A,Missing,,,,
,,,.B,Not tested,,,,
,,,.Z,"N/A, TED track <2013",,,,
t922,Cytogenetic abnormality present before transplant: T(9:22),Categorical,0,No,Pre-Transplant Variable,Unknown,Unknown if disease impacts risk of gvhd,236
,,,1,Yes,,,,
,,,.A,Missing,,,,
,,,.B,Not tested,,,,
,,,.Z,"N/A, TED track <2013",,,,
t1517,Cytogenetic abnormality present before transplant: T(15:17),Categorical,0,No,Pre-Transplant Variable,Unknown,Unknown if disease impacts risk of gvhd,236
,,,1,Yes,,,,
,,,.A,Missing,,,,
,,,.B,Not tested,,,,
,,,.Z,"N/A, TED track <2013",,,,
t1616,Cytogenetic abnormality present before transplant: T(16:16),Categorical,0,No,Pre-Transplant Variable,Unknown,Unknown if disease impacts risk of gvhd,236
,,,1,Yes,,,,
,,,.A,Missing,,,,
,,,.B,Not tested,,,,
,,,.Z,"N/A, TED track <2013",,,,
del3q,Cytogenetic abnormality present before transplant: 3q-,Categorical,0,No,Pre-Transplant Variable,Unknown,Unknown if disease impacts risk of gvhd,236
,,,1,Yes,,,,
,,,.A,Missing,,,,
,,,.B,Not tested,,,,
,,,.Z,"N/A, TED track <2013",,,,
del5q,Cytogenetic abnormality present before transplant: 5q-,Categorical,0,No,Pre-Transplant Variable,Unknown,Unknown if disease impacts risk of gvhd,236
,,,1,Yes,,,,
,,,.A,Missing,,,,
,,,.B,Not tested,,,,
,,,.Z,"N/A, TED track <2013",,,,
del7q,Cytogenetic abnormality present before transplant: 7q-,Categorical,0,No,Pre-Transplant Variable,Unknown,Unknown if disease impacts risk of gvhd,236
,,,1,Yes,,,,
,,,.A,Missing,,,,
,,,.B,Not tested,,,,
,,,.Z,"N/A, TED track <2013",,,,
del9q,Cytogenetic abnormality present before transplant: 9q-,Categorical,0,No,Pre-Transplant Variable,Unknown,Unknown if disease impacts risk of gvhd,236
,,,1,Yes,,,,
,,,.A,Missing,,,,
,,,.B,Not tested,,,,
,,,.Z,"N/A, TED track <2013",,,,
del11q,Cytogenetic abnormality present before transplant: 11q-,Categorical,0,No,Pre-Transplant Variable,Unknown,Unknown if disease impacts risk of gvhd,236
,,,1,Yes,,,,
,,,.A,Missing,,,,
,,,.B,Not tested,,,,
,,,.Z,"N/A, TED track <2013",,,,
del16q,Cytogenetic abnormality present before transplant: 16q-,Categorical,0,No,Pre-Transplant Variable,Unknown,Unknown if disease impacts risk of gvhd,236
,,,1,Yes,,,,
,,,.A,Missing,,,,
,,,.B,Not tested,,,,
,,,.Z,"N/A, TED track <2013",,,,
del17q,Cytogenetic abnormality present before transplant: 17q-,Categorical,0,No,Pre-Transplant Variable,Unknown,Unknown if disease impacts risk of gvhd,236
,,,1,Yes,,,,
,,,.A,Missing,,,,
,,,.B,Not tested,,,,
,,,.Z,"N/A, TED track <2013",,,,
del20q,Cytogenetic abnormality present before transplant: 20q-,Categorical,0,No,Pre-Transplant Variable,Unknown,Unknown if disease impacts risk of gvhd,236
,,,1,Yes,,,,
,,,.A,Missing,,,,
,,,.B,Not tested,,,,
,,,.Z,"N/A, TED track <2013",,,,
del21q,Cytogenetic abnormality present before transplant: 21q-,Categorical,0,No,Pre-Transplant Variable,Unknown,Unknown if disease impacts risk of gvhd,236
,,,1,Yes,,,,
,,,.A,Missing,,,,
,,,.B,Not tested,,,,
,,,.Z,"N/A, TED track <2013",,,,
inv3,Cytogenetic abnormality present before transplant: Inv(3),Categorical,0,No,Pre-Transplant Variable,Unknown,Unknown if disease impacts risk of gvhd,236
,,,1,Yes,,,,
,,,.A,Missing,,,,
,,,.B,Not tested,,,,
,,,.Z,"N/A, TED track <2013",,,,
inv16,Cytogenetic abnormality present before transplant: Inv(16),Categorical,0,No,Pre-Transplant Variable,Unknown,Unknown if disease impacts risk of gvhd,236
,,,1,Yes,,,,
,,,.A,Missing,,,,
,,,.B,Not tested,,,,
,,,.Z,"N/A, TED track <2013",,,,
ab1123,Cytogenetic abnormality present before transplant: Abnormal 11q23,Categorical,0,No,Pre-Transplant Variable,Unknown,Unknown if disease impacts risk of gvhd,236
,,,1,Yes,,,,
,,,.A,Missing,,,,
,,,.B,Not tested,,,,
,,,.Z,"N/A, TED track <2013",,,,
ab12p,Cytogenetic abnormality present before transplant: Abnormal 12p,Categorical,0,No,Pre-Transplant Variable,Unknown,Unknown if disease impacts risk of gvhd,236
,,,1,Yes,,,,
,,,.A,Missing,,,,
,,,.B,Not tested,,,,
,,,.Z,"N/A, TED track <2013",,,,
mark_cebpa,CEBPA mutation,Categorical,0,Negative,Pre-Transplant Variable,Unknown,Unknown if disease impacts risk of gvhd,236
,,,1,Positive,,,,
,,,2,Test not done,,,,
,,,96,"N/A, data not collected",,,,
,,,99,Missing,,,,
mark_f3d835,FLT3-D835 mutation,Categorical,0,Negative,Pre-Transplant Variable,Unknown,Unknown if disease impacts risk of gvhd,236
,,,1,Positive,,,,
,,,2,Test not done,,,,
